HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
1,Switzerland,0.962,83.9872,16.50029945,13.85966015,66933.00454,5,3,1,0.9203303230555555,CHE,Europe,Western Europe,47,8
2,Norway,0.961,83.2339,18.18519974,13.00362968,64660.10622,6,1,1,0.938598759888889,NOR,Europe,Northern Europe,62,10
3,Iceland,0.959,82.6782,19.16305923,13.76716995,55782.04981,11,2,1,0.9912128658333333,ISL,Europe,Northern Europe,65,-18
5,Australia,0.951,84.5265,21.05459023,12.72681999,49238.43335,18,5,1,1.009077061611111,AUS,Oceania,Australia and New Zealand,-27,133
6,Denmark,0.948,81.3753,18.71479988,12.96049023,60364.78595,6,5,1,0.9518718932222222,DNK,Europe,Northern Europe,56,10
7,Sweden,0.947,82.9833,19.41852951,12.60972023,54489.37401,9,9,1,0.9597276051666667,SWE,Europe,Northern Europe,62,15
8,Ireland,0.945,81.9976,18.94522095,11.58222303,76168.98443,-3,8,1,0.9123302385000001,IRL,Europe,Northern Europe,53,-8
9,Germany,0.942,80.6301,17.01013947,14.09096691,54534.21682,6,7,1,0.9422027711666666,DEU,Europe,Western Europe,51,9
10,Netherlands,0.941,81.6873,18.69316522,12.58162975,55979.411,3,10,1,0.9386422477777778,NLD,Europe,Western Europe,52.5,5.75
11,Finland,0.94,82.0381,19.05192947,12.87362003,49452.16672,11,12,1,0.9583409307222223,FIN,Europe,Northern Europe,64,26
12,Singapore,0.939,82.7545,16.5243206,11.92488003,90918.64471,-10,10,1,0.8565049065555556,SGP,Asia,South-eastern Asia,1.3667,103.8
13,Belgium,0.937,81.8787,19.60421944,12.37567997,52293.39977,7,16,1,0.9570843167777778,BEL,Europe,Western Europe,50.8333,4
13,New Zealand,0.937,82.4513,20.28388977,12.94468975,44057.31394,16,13,1,0.9949310408333334,NZL,Oceania,Australia and New Zealand,-41,174
15,Canada,0.936,82.6565,16.39625931,13.83442722,46807.98619,9,15,1,0.9165992215000001,CAN,Americas,Northern America,60,-95
16,Liechtenstein,0.935,83.2575,15.18157005,12.53854,146829.7006,-15,14,1,0.8396616124999999,LIE,Europe,Western Europe,47.1667,9.5333
17,Luxembourg,0.93,82.6287,14.39813995,13.01519217,84649.47467,-13,17,1,0.8337880709444444,LUX,Europe,Western Europe,49.75,6.1667
18,United Kingdom,0.929,80.7422,17.30971909,13.4061203,45224.76564,9,17,1,0.9276962069444444,GBR,Europe,Northern Europe,54,-2
19,Japan,0.925,84.7839,15.22162588,13.36610034,42274.29134,12,19,1,0.868359619111111,JPN,Asia,Eastern Asia,36,138
19,Korea (Republic of),0.925,83.6978,16.52173996,12.51293027,44500.93187,9,20,1,0.8760348967777778,KOR,Asia,Eastern Asia,37,127.5
19,Korea (Republic of),0.925,83.6978,16.52173996,12.51293027,44500.93187,9,20,1,0.8760348967777778,KOR,Asia,Eastern Asia,37,127.5
21,United States,0.921,77.1982,16.28097916,13.68342972,64765.21509,-14,21,1,0.9083637451111111,USA,Americas,Northern America,38,-97
22,Israel,0.919,82.255,16.05088997,13.3448664,41523.74319,10,22,1,0.8906869347222223,ISR,Asia,Western Asia,31.5,34.75
23,Malta,0.918,83.7769,16.83856964,12.21026039,38884.45623,12,26,1,0.8747467252222222,MLT,Europe,Southern Europe,35.8333,14.5833
23,Slovenia,0.918,80.6904,17.65492058,12.80368042,39746.01987,10,23,1,0.9172038078888889,SVN,Europe,Southern Europe,46,15
25,Austria,0.916,81.5797,16.00795937,12.25669003,53618.67138,-8,23,1,0.8532218723888889,AUT,Europe,Western Europe,47.3333,13.3333
26,United Arab Emirates,0.911,78.7104,15.71769047,12.69402981,62573.59181,-15,25,1,0.8597368400555556,ARE,Asia,Western Asia,24,54
27,Spain,0.905,83.01,17.91690063,10.60540009,38353.60164,10,27,1,0.8512050205,ESP,Europe,Southern Europe,40,-4
28,France,0.903,82.4988,15.81206989,11.61005974,45937.05273,-2,28,1,0.8262261549444445,FRA,Europe,Western Europe,46,2
29,Cyprus,0.896,81.2033,15.64826965,12.44017029,38188.42152,9,29,1,0.8493464999444444,CYP,Asia,Western Asia,35,33
