country,crime_index,LPP_index,healthcare_index,alpha-3
Venezuela,82.6,12.4,39.3,
Papua New Guinea,79.9,,,PNG
Afghanistan,78.6,,,AFG
South Africa,75.4,83.9,63.7,ZAF
Honduras,74.2,35.4,,HND
Trinidad And Tobago,70.6,38.9,53.4,
Guyana,69.0,23.3,,GUY
Syria,68.8,5.5,,
Somalia,68.6,,,SOM
Jamaica,67.8,28.9,,JAM
Peru,67.6,31.3,55.9,PER
Brazil,66.6,28.7,58.2,BRA
Nigeria,65.5,8.4,48.5,NGA
Angola,65.4,,,AGO
Cameroon,64.8,18.4,,CMR
Namibia,64.8,51.3,,NAM
El Salvador,64.4,22.7,,SLV
Argentina,64.3,36.8,68.9,ARG
Mozambique,63.4,,,MOZ
Bangladesh,62.6,26.9,42.3,BGD
Bahamas,62.4,43.2,,BHS
Puerto Rico,62.0,62.1,57.3,PRI
Dominican Republic,61.2,23.0,55.5,DOM
Us Virgin Islands,60.9,,,
Bolivia,60.8,37.4,,
Zimbabwe,60.5,18.7,,ZWE
Colombia,60.2,31.1,67.9,COL
Libya,60.2,32.1,,LBY
Guatemala,59.7,29.7,67.5,GTM
Ecuador,59.4,37.0,69.5,ECU
Chile,58.1,37.3,64.4,CHL
Kenya,57.0,32.8,61.8,KEN
Fiji,57.0,65.5,,FJI
Belarus,56.4,36.4,47.1,BLR
Tanzania,55.5,20.5,,
France,55.3,86.2,79.4,FRA
Uganda,54.9,12.5,,UGA
Kyrgyzstan,54.6,25.5,,KGZ
Maldives,54.5,33.9,,MDV
Mexico,54.4,43.5,72.5,MEX
Mongolia,53.9,24.3,,MNG
Costa Rica,53.8,41.5,63.1,CRI
Botswana,53.7,63.6,,BWA
Belize,53.1,49.2,,BLZ
Cambodia,52.9,15.5,,KHM
Malaysia,52.9,65.7,70.0,MYS
Uruguay,52.7,38.4,68.4,URY
Kazakhstan,52.7,38.1,59.9,KAZ
Algeria,52.6,26.9,53.6,DZA
North Korea,52.4,,,
Ethiopia,50.9,11.6,,ETH
Paraguay,50.8,27.8,,PRY
Iran,49.9,21.1,52.3,
Belgium,49.1,94.5,75.2,BEL
United States,49.0,115.7,68.6,USA
Zambia,48.8,,,ZMB
Nicaragua,48.8,21.7,,NIC
Sweden,48.5,101.2,68.6,SWE
Myanmar,48.2,29.7,,MMR
Mauritius,48.1,30.8,,MUS
Barbados,47.9,36.8,,BRB
Egypt,47.2,21.9,47.6,EGY
Moldova,47.1,33.1,,
Greece,47.0,41.9,57.5,GRC
United Kingdom,46.9,98.9,74.1,GBR
Italy,46.9,66.5,66.3,ITA
Morocco,46.8,33.6,45.8,MAR
Ukraine,46.7,38.1,55.2,UKR
Sudan,46.5,,,SDN
Lebanon,46.2,22.7,63.2,LBN
Iraq,46.1,44.5,43.5,IRQ
Indonesia,45.9,27.5,60.5,IDN
Ireland,45.9,82.6,51.8,IRL
New Zealand,45.8,93.0,71.0,NZL
Albania,45.7,30.1,49.6,ALB
Australia,45.5,110.9,75.3,AUS
India,44.6,64.6,65.1,IND
Tunisia,44.6,30.0,57.1,TUN
Ghana,44.5,17.2,,GHA
Vietnam,44.5,31.5,59.3,
Canada,44.3,102.1,70.4,CAN
Panama,43.7,36.4,61.0,PAN
Bosnia And Herzegovina,42.9,48.6,54.9,
Philippines,42.7,22.4,67.8,PHL
Malta,42.5,50.6,45.4,MLT
Pakistan,42.3,24.4,59.5,PAK
Sri Lanka,41.4,16.0,72.0,LKA
Jordan,41.0,38.0,64.9,JOR
Palestine,41.0,39.8,,
North Macedonia,40.9,38.2,55.3,MKD
Kosovo (Disputed Territory),40.8,37.6,,
Turkey,40.1,31.0,71.0,TUR
Montenegro,39.8,40.4,,MNE
Russia,39.3,40.9,59.7,
Thailand,38.7,33.2,77.9,THA
Serbia,38.2,39.6,52.2,SRB
Bulgaria,38.0,51.2,56.7,BGR
Latvia,37.7,52.9,62.4,LVA
Nepal,37.6,21.8,57.0,NPL
Germany,37.6,107.6,71.9,DEU
Spain,35.7,82.5,77.9,ESP
Luxembourg,35.1,127.1,75.0,LUX
Hungary,33.9,53.1,54.4,HUN
Uzbekistan,33.5,24.8,,UZB
Norway,33.5,95.0,76.7,NOR
Lithuania,33.0,56.7,73.2,LTU
Israel,32.6,80.5,73.5,ISR
Kuwait,32.6,96.7,59.7,KWT
Romania,32.0,52.5,56.5,ROU
Azerbaijan,31.8,32.0,46.8,AZE
Cuba,31.6,1.6,,CUB
Portugal,31.5,51.7,71.5,PRT
Slovakia,31.4,56.3,60.1,SVK
Cyprus,31.4,54.8,54.7,CYP
Singapore,29.2,95.6,70.9,SGP
Poland,29.2,64.0,57.6,POL
Brunei,29.0,60.7,,
Rwanda,27.6,30.0,,RWA
Netherlands,27.3,107.8,77.1,NLD
Austria,27.3,91.2,77.2,AUT
Finland,26.8,98.8,77.1,FIN
Czech Republic,26.6,71.8,75.5,
Denmark,26.6,105.0,79.2,DNK
China,26.3,62.3,67.5,CHN
Georgia,25.9,25.9,54.8,GEO
South Korea,25.5,85.5,83.0,
Estonia,25.1,61.4,74.1,EST
Iceland,24.9,90.1,67.0,ISL
Saudi Arabia,24.6,101.9,61.2,SAU
Monaco,24.6,,,MCO
Croatia,24.6,56.2,63.9,HRV
Slovenia,24.2,61.7,65.3,SVN
Bahrain,24.0,81.7,,BHR
Switzerland,23.6,118.7,74.5,CHE
Japan,23.1,100.4,80.3,JPN
Armenia,22.0,25.5,,ARM
Hong Kong (China),21.5,67.7,65.8,
Oman,19.7,108.2,58.2,OMN
Isle Of Man,18.0,167.7,,
Taiwan (China),16.2,71.3,85.9,
United Arab Emirates,15.1,123.4,69.6,ARE
Qatar,14.8,123.6,73.8,QAT
